Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
K?MIA,K?(MCO|ORL|SFB|ISM|LEE),"FLMGO# WAPOM RIDES#",TRUE,"TJ AOB 230"
K?MIA,K?(MCO|ORL|SFB|ISM|LEE),"DORRL# MATLK SLOAO#",TRUE,"TP AOB 230"
K?MIA,K?(MCO|ORL|SFB|ISM|LEE),"SHANC T347 BAIRN",TRUE,"P AOB 90"
K?MIA,K?(MLB|COF|COI|TIX|TTS|XMR),"FLMGO# WAPOM VALKA",TRUE,"TJ AOB 190"
K?MIA,K?(MLB|COF|COI|TIX|TTS|XMR),"SHANC T208 VALKA",TRUE,"TP/P AOB 90"
K?MIA,K?(TPA|PIE|MCF|SPG),"BNGOS# COREA BLFRG#",TRUE,"TJ AOB 240"
K?MIA,K?(TPA|PIE|MCF|SPG),"MIA# BNGOS COREA BLFRG#",TRUE,"TP/P AOB 240"
K?MIA,K?(SRQ|VNC),"BNGOS# COREA TUBBA CURSD",TRUE,"TJ AOB 200"
K?MIA,K?(SRQ|VNC),"MIA# BNGOS LBELL CAYOO",TRUE,"TP/P AOB 200"
K?MIA,K?(LAL|BOW|BKV),"BNGOS# COREA LAL",TRUE,"TJ AOB 200"
K?MIA,K?(LAL|BOW|BKV),"MIA# BNGOS LAL",TRUE,"TP/P AOB 200"
K?MIA,K?(EYW|NQX),"MAYNR# MAYNR FNTSY FNTSY#",TRUE,"TJ AOB 200"
K?MIA,K?(EYW|NQX),"MIA# MAYNR GUCEL",TRUE,"TP/P AOB 200"
K?MIA,K?(PBI|BCT|06FA),"WILBA (radar vectors)",TRUE,"TJ/TP AOB 50"
K?MIA,K?(PBI|BCT|06FA),"WILBA (radar vectors)",TRUE,"P AOB 40"
K?MIA,K?(SUA|VRB|FPR),"LIFRR# WIXED",TRUE,"TJ AOB 60"
K?MIA,K?(SUA|VRB|FPR),"SHANC T208 CLEFF SHEDS",TRUE,"TP/P AOB 60"
K?MIA,K?(RSW|PGD|APF|FMY),"BNGOS# MERKS RSW",TRUE,"TJ AOB 100"
K?MIA,K?(RSW|PGD|APF|FMY),"MIA# BNGOS",TRUE,"TP/P AOB 100"
K?MIA,K?(FLL|PMP|FXE|HWO|OPF|TMB),"Radar vectors",TRUE,"TJ AOB 50"
K?MIA,K?(FLL|PMP|FXE|HWO|OPF|TMB),"Radar vectors",TRUE,"TP/P AOB 30"
K?MIA,K?(JAX|CRG|NIP|NRB),"FLMGO# STYMY ORL HAINY QUBEN#",TRUE,"TJ AOB 310"
K?MIA,K?(JAX|CRG|NIP|NRB),"DORRL# ORL POGIE#",TRUE,"TP AOB 230"
K?MIA,K?(JAX|CRG|NIP|NRB),"SHANC T208 FOXAM SEBAG",TRUE,"P AOB 90"
K?MIA,K?(DAB|OMN|DED|EVB|FIN),"FLMGO# WAPOM VALKA T208 SMYRA",TRUE,"TJ AOB 230"
K?MIA,K?(DAB|OMN|DED|EVB|FIN),"SHANC T208 SMYRA",TRUE,"TP/P AOB 90"
K?MIA,K?(MUHA),"GLADZ# LULLS Y196 CANOA ENTRY5",TRUE,"MIA EAST, TJ AOB 300"
K?MIA,K?(MUHA),"MAYNR# CANOA ENTRY5",TRUE,"MIA WEST, TJ AOB 300"
K?MIA,K?(MYNN),"KLADA# RAJAY",TRUE,"TJ AOB 210"
K?MIA,K?(MYNN),"MIA# KETLL ELQUE RAJAY",TRUE,"TP/P AOB 170"
K?MIA,K?(MYGF),"FOLZZ# PADUS",TRUE,"TJ AOB 110"
K?MIA,K?(MYGF),"MIA# FOLZZ PADUS",TRUE,"TP/P AOB 90"
K?MIA,K?(MBPV),"KLADA# BITAC SOLEI",TRUE,"TJ"
K?MIA,K?(TNCM),"KLADA# BITAC Y290 CALTO Y290 SLUGO",TRUE,"TJ"
K?MIA,K?(TJSJ),"KLADA# BITAC Y290 BEANO",TRUE,"TJ"
K?MIA,K?(MDSD),"KLADA# JAGOR RUMFO Y441 JUELE UW38 PTA UT20 KODIX KODIX2H",TRUE,"TJ"
K?MIA,K?(MDPC),"KLADA# JAGOR RUMFO Y441 JUELE UW38 PTA UW28 PETRI BEREL",TRUE,"TJ"
K?FLL,K?(MCO|ORL|SFB|ISM|LEE),"FRSBE# WAPOM RIDES#",TRUE,"TJ AOB 230"
K?FLL,K?(MCO|ORL|SFB|ISM|LEE),"DORRL# MATLK SLOAO#",TRUE,"TP AOB 230"
K?FLL,K?(MCO|ORL|SFB|ISM|LEE),"SHANC T347 BAIRN",TRUE,"P AOB 90"
K?FLL,K?(MLB|COF|COI|TIX|TTS|XMR),"FRSBE# WAPOM VALKA",TRUE,"TJ AOB 190"
K?FLL,K?(MLB|COF|COI|TIX|TTS|XMR),"SHANC T208 VALKA",TRUE,"TP/P AOB 90"
K?FLL,K?(TPA|PIE|MCF|SPG),"BNICE# COREA BLFRG#",TRUE,"TJ AOB 240"
K?FLL,K?(TPA|PIE|MCF|SPG),"FLL# BNICE COREA BLFRG#",TRUE,"TP/P AOB 240"
K?FLL,K?(SRQ|VNC),"BNICE# COREA TUBBA CURSD",TRUE,"TJ AOB 200"
K?FLL,K?(SRQ|VNC),"FLL# BNICE LBELL CAYOO",TRUE,"TP/P AOB 200"
K?FLL,K?(LAL|BOW|BKV),"BNICE# COREA LBELL LAL",TRUE,"TJ AOB 200"
K?FLL,K?(LAL|BOW|BKV),"FLL# BNICE LBELL LAL",TRUE,"TP/P AOB 200"
K?FLL,K?(EYW|NQX),"MAYNR# MAYNR FNTSY FNTSY#",TRUE,"TJ AOB 200"
K?FLL,K?(EYW|NQX),"FLL# MAYNR GUCEL",TRUE,"TP/P AOB 200"
K?FLL,K?(PBI|BCT|06FA),"AGERS# HURGI AARPS",TRUE,"TJ AOB 50"
K?FLL,K?(PBI|BCT|06FA),"WILBA (radar vectors)",TRUE,"TP/P AOB 40"
K?FLL,K?(SUA|VRB|FPR),"LIFRR# WIXED",TRUE,"TJ AOB 60"
K?FLL,K?(SUA|VRB|FPR),"SHANC T208 CLEFF SHEDS",TRUE,"TP/P AOB 60"
K?FLL,K?(RSW|PGD|APF|FMY),"BNICE# MERKS RSW",TRUE,"TJ AOB 100"
K?FLL,K?(RSW|PGD|APF|FMY),"FLL# BNICE",TRUE,"TP/P AOB 100"
K?FLL,K?(MIA|PMP|FXE|HWO|OPF|TMB),"Radar vectors",TRUE,"TJ AOB 40"
K?FLL,K?(MIA|PMP|FXE|HWO|OPF|TMB),"Radar vectors",TRUE,"TP/P AOB 20"
K?FLL,K?(JAX|CRG|NIP|NRB),"FRSBE# STYMY ORL HAINY QUBEN#",TRUE,"TJ AOB 310"
K?FLL,K?(JAX|CRG|NIP|NRB),"DORRL# ORL POGIE#",TRUE,"TP AOB 230"
K?FLL,K?(JAX|CRG|NIP|NRB),"SHANC T208 FOXAM SEBAG",TRUE,"P AOB 90"
K?FLL,K?(DAB|OMN|DED|EVB|FIN),"FLMGO# WAPOM VALKA T208 SMYRA",TRUE,"TJ AOB 230"
K?FLL,K?(DAB|OMN|DED|EVB|FIN),"SHANC T208 SMYRA",TRUE,"TP/P AOB 90"
K?FLL,K?(MUHA),"GLADZ# LULLS Y196 CANOA ENTRY5",TRUE,"FLL EAST, TJ AOB 300"
K?FLL,K?(MUHA),"MAYNR# CANOA ENTRY5",TRUE,"FLL WEST, TJ AOB 300"
K?FLL,K?(MYNN),"SNAPR# RAJAY",TRUE,"TJ AOB 210"
K?FLL,K?(MYNN),"FLL# BEECH BAHMA RAJAY",TRUE,"TP/P AOB 170"
K?FLL,K?(MYGF),"FEALX# PADUS",TRUE,"TJ AOB 110"
K?FLL,K?(MYGF),"FLL# FEALX PADUS",TRUE,"TP/P AOB 110"
K?FLL,K?(MBPV),"SNAPR# SUMAC SOLEI",TRUE,"TJ"
K?FLL,K?(TNCM),"SNAPR# SUMAC Y421 HAGIT Y290 SLUGO PJM",TRUE,"TJ"
K?FLL,K?(TJSJ),"SNAPR# SUMAC Y421 HAGIT Y290 BEANO",TRUE,"TJ"
K?FLL,K?(MDSD),"SNAPR# SUMAC Y443 RUMFO Y441 JUELE UW38 PTA KODIX KODIX2H",TRUE,"TJ"
K?FLL,K?(MDPC),"SNAPR# SUMAC Y443 RUMFO Y441 JUELE UW38 PTA UW28 DEMBU BEREL POKEG1W",TRUE,"TJ"
K?TPA,K?(MIA|TMB),"GANDY# SABEE FROGZ#",TRUE,"TJ AOB 250"
K?TPA,K?(MIA|TMB),"SABEE RSW PALMZ#",TRUE,"TP/P AOB 170"
K?TPA,K?(FLL|FXE|PMP|HWO),"GANDY# SABEE TEEKY#",TRUE,"TJ AOB 250"
K?TPA,K?(FLL|FXE|PMP|HWO),"SABEE RSW FORTL#",TRUE,"TP AOB 170"
K?TPA,K?(FLL|FXE|PMP|HWO),"CROWD GILBI V511 NEWER",TRUE,"P AOB 70"
K?TPA,K?(OPF),"GANDY# SABEE CUURT#",TRUE,"TJ AOB 210"
K?TPA,K?(OPF),"SABEE RSW PALMZ#",TRUE,"TP AOB 170"
K?TPA,K?(OPF),"CROWD GILBI V511 NEWER",TRUE,"P AOB 70"
K?TPA,K?(MCO|ORL|SFB|ISM|LEE),"LAL MINEE MINEE#",TRUE,"TJ/TP AOB 90"
K?TPA,K?(MCO|ORL|SFB|ISM|LEE),"PRICY MINEE",TRUE,"P AOB 50"
K?TPA,K?(MLB|COF|COI|TIX|TTS|XMR),"LAL YOJIX T336 DEARY",TRUE,"ALL AOB 70"
K?TPA,K?(EYW|NQX),"GANDY# SABEE KRAKN#",TRUE,"TJ AOB 210"
K?TPA,K?(EYW|NQX),"SABEE RSW KARTR GIGIH",TRUE,"TP AOB 170"
K?TPA,K?(EYW|NQX),"CEXAN KARTR",TRUE,"P AOB 090"
K?TPA,K?(PBI|BCT|SUA|06FA),"GANDY# SABEE VUUDU#",TRUE,"TJ AOB 170"
